"";"enne$pred";"enne$pred + 1.96 * enne$se";"enne$pred - 1.96 * enne$se"
"1";65039,9889159382;71684,7609113017;58395,2169205748
"2";66272,280651878;76265,6478669864;56278,9134367695
"3";62555,4916583062;75037,1439167815;50073,8393998309
"4";61332,4228824443;75883,0070011445;46781,8387637441
"5";57022,1429221131;73382,076141838;40662,2097023882
"6";56089,597706388;74077,7975249119;38101,3978878641
"7";64820,5690179002;84301,4121839959;45339,7258518045
"8";73334,3074580809;94201,2949786641;52467,3199374977
"9";68899,0815088284;91065,7024886491;46732,4605290076
"10";66756,8822164307;90151,0482188937;43362,7162139676
"11";65751,736826904;90312,1708794495;41191,3027743586
"12";64361,0410081492;90034,8182368853;38687,263779413
"13";65349,2017759762;92090,0086027729;38608,3949491795
"14";67382,1776941241;95149,0402036156;39615,3151846326
"15";68707,6969505981;97464,0275145902;39951,3663866061
"16";72465,63071311;102178,497873243;42752,7635529774
"17";81912,4490430148;112552,005284269;51272,8928017607
"18";78073,1495962021;109612,178171742;46534,1210206626
"19";75032,8403498768;107446,39060208;42619,2900976734
"20";72549,7310984799;105814,820295823;39284,6419011373
"21";70908,8507646646;105004,218169544;36813,4833597853
"22";74742,6308621947;109648,532896155;39836,7288282347
"23";72274,080683536;107972,118654716;36576,0427123561
"24";70802,3538272344;107275,32783847;34329,3798159988
