Aikaleima;Hinta (snt/kWh)
4.12.2014 0.00;6,26
4.12.2014 1.00;6,05
4.12.2014 2.00;5,90
4.12.2014 3.00;5,90
4.12.2014 4.00;5,85
4.12.2014 5.00;6,00
4.12.2014 6.00;6,76
4.12.2014 7.00;9,84
4.12.2014 8.00;11,25
4.12.2014 9.00;11,20
4.12.2014 10.00;11,05
4.12.2014 11.00;10,75
4.12.2014 12.00;9,99
4.12.2014 13.00;8,98
4.12.2014 14.00;8,63
4.12.2014 15.00;9,18
4.12.2014 16.00;9,59
4.12.2014 17.00;9,69
4.12.2014 18.00;9,54
4.12.2014 19.00;9,49
4.12.2014 20.00;9,59
4.12.2014 21.00;9,13
4.12.2014 22.00;7,52
4.12.2014 23.00;7,27
